COUNTY,TX_SIGNED_HIGHWAY_RDBD_ID,TX_LENGTH_TOTAL,SEGMENT_COUNT,TX_CONDITION_SCORE,TX_DISTRESS_SCORE,TX_RIDE_SCORE,TX_AADT_CURRENT,TX_MAINTENANCE_COST_AMT
Anderson,SL0256 K,0.36,5,79.6,100.0,3.06,12240.0,0.0
Anderson,US0079 A,2.26,5,100.0,100.0,3.02,499.0,122.08
Anderson,US0079 K,4.47,9,85.89,94.4,3.25,10351.12,575.85
Anderson,US0079 L,27.27,53,93.62,93.89,4.33,4315.8,204.08
Anderson,US0079 R,7.07,13,88.52,88.52,3.62,4809.45,617.31
Anderson,US0079 X,0.98,2,100.0,100.0,3.09,499.0,50.0
Anderson,US0287 K,0.17,1,100.0,100.0,3.2,2909.0,120.0
Angelina,BU0059GL,5.38,22,93.69,99.82,3.2,4520.59,465.29
Angelina,BU0059GR,5.85,24,98.21,99.69,3.51,4811.37,428.92
Angelina,BU0069JL,0.24,1,85.0,85.0,2.85,1430.0,11.0
Angelina,BU0069JR,1.32,6,74.68,95.72,2.32,1291.05,2433.77
Angelina,FM1877 K,0.16,5,92.8,100.0,2.5,389.8,294.4
Angelina,FM2021 K,3.0,6,91.83,98.83,3.31,2729.0,4616.67
Angelina,FM3521 K,0.61,10,82.31,99.06,2.34,646.72,128.98
Angelina,SH0094 K,0.29,1,0.0,0.0,3.4,2980.0,192.0
Angelina,SH0103 L,0.09,1,48.0,100.0,2.3,8650.0,9.0
Angelina,SH0103 R,0.09,1,0.0,100.0,0.0,8650.0,9.0
Angelina,SL0287 L,1.92,9,100.0,100.0,3.83,14528.55,3368.84
Angelina,SL0287 R,1.0,2,100.0,100.0,4.34,10728.0,4992.0
Angelina,SL0287 X,0.82,5,74.57,88.83,2.87,2280.33,3267.38
Angelina,US0059 A,8.23,17,97.69,99.43,3.27,5178.02,6748.11
Angelina,US0059 K,3.36,9,99.92,100.0,4.16,32730.61,17286.93
Angelina,US0059 L,49.61,104,96.81,99.88,3.79,16818.69,5370.61
Angelina,US0059 R,44.81,94,91.24,97.97,3.65,16335.58,5262.79
Angelina,US0059 X,20.99,45,94.57,94.9,3.35,2266.59,4563.62
Angelina,US0069 A,1.18,9,94.26,100.0,2.63,2661.0,1030.45
Angelina,US0069 L,5.74,18,94.49,94.49,4.09,6309.68,2774.03
Angelina,US0069 R,6.86,22,97.56,97.56,4.13,5798.01,2732.95
Aransas,FM2040 K,1.69,6,99.6,99.6,4.1,185.5,698.1
Aransas,SH0035 K,8.15,19,48.5,48.5,3.46,7972.89,218.85
Archer,SH0079 K,3.5,7,79.86,95.14,3.04,4613.86,166.71
Austin,FM3538 K,1.0,2,99.5,100.0,3.23,3375.0,18634.5
Austin,IH0010 A,45.35,95,94.19,94.28,3.93,1498.93,9.82
Austin,IH0010 L,47.64,96,98.0,98.02,4.08,25584.16,10.36
Austin,IH0010 R,50.08,101,97.71,97.71,4.12,25493.96,10.88
Austin,IH0010 X,48.86,100,97.29,97.32,4.03,1718.59,12.31
Bailey,US0084 K,0.25,6,8.49,83.44,1.17,9307.63,514.7
Bee,US0059 K,0.32,6,49.82,69.31,1.9,3615.85,1904.19
Bell,FM0935 K,0.15,3,34.51,100.0,1.52,1142.78,266.24
Bell,FM1237 K,0.77,6,72.5,96.5,2.27,1857.0,704.5
Bell,FM1741 L,0.14,1,61.0,100.0,2.54,16925.0,4.0
Bell,FM2268 K,3.28,12,83.29,98.48,2.71,1051.99,273.18
Bell,FM2670 K,2.5,5,92.2,97.8,2.66,1077.8,14.0
Bell,FM3481 K,0.51,1,0.0,0.0,3.03,3932.0,0.0
Bell,IH0035 A,94.62,193,94.45,95.29,3.68,4435.72,2273.25
Bell,IH0035 L,267.19,538,97.16,97.23,4.05,35677.44,2145.87
Bell,IH0035 R,266.26,535,98.51,98.67,4.06,35435.79,2175.04
Bell,IH0035 X,114.6,231,94.46,95.71,3.64,3970.25,2128.94
Bell,SH0036 A,6.28,11,95.7,98.25,3.78,5954.24,537.91
